source,target,distance,time,source_type,instruction
1,2,110,105,נמדד,המשך ישר
2,3,30,30,נמדד,פנה שמאלה
2,18,10,14,נמדד,פנה ימינה
2,19,20,30,נמדד,עלה קומה
16,17,45,40,נמדד,המשך ישר
17,9,35,30,נמדד,המשך ישר
9,10,10,7,נמדד,פנה שמאלה
10,14,19,18,נמדד,המשך ישר
14,15,180,128,נמדד,צא החוצה
20,8,8,17,נמדד,פנה ימינה
20,6,16,13,נמדד,המשך ישר
6,13,24,23,נמדד,פנה ימינה
6,7,9,8,נמדד,פנה שמאלה
7,11,27,29,נמדד,המשך ישר
11,12,8,9,נמדד,פנה ימינה
12,9,25,25,נמדד,פנה שמאלה
47,46,9,8,נמדד,פנה שמאלה
23,47,10,8,נמדד,המשך ישר לספריה
18,19,12,10,סימטרי,עלה קומה
19,20,12,10,סימטרי,עלה קומה
20,21,12,10,סימטרי,עלה קומה
21,22,12,10,סימטרי,עלה קומה
22,23,12,10,סימטרי,עלה קומה
19,24,8,13,סימטרי,פנה שמאלה לכיתות
24,25,4,5,סימטרי,המשך ישר
25,26,4,5,סימטרי,המשך ישר
26,27,4,5,סימטרי,המשך ישר
21,28,8,13,סימטרי,פנה ימינה לכיתות
28,29,4,5,סימטרי,המשך ישר
29,30,4,5,סימטרי,המשך ישר
30,31,4,5,סימטרי,המשך ישר
31,32,4,5,סימטרי,המשך ישר
32,33,4,5,סימטרי,המשך ישר
33,34,4,5,סימטרי,המשך ישר
34,35,4,5,סימטרי,המשך ישר
35,36,4,5,סימטרי,המשך ישר
22,37,8,13,סימטרי,פנה ימינה לכיתות
37,38,4,5,סימטרי,המשך ישר
38,39,4,5,סימטרי,המשך ישר
39,40,4,5,סימטרי,המשך ישר
40,41,4,5,סימטרי,המשך ישר
41,42,4,5,סימטרי,המשך ישר
42,43,4,5,סימטרי,המשך ישר
43,44,4,5,סימטרי,המשך ישר
44,45,4,5,סימטרי,המשך ישר
